"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00020837,0.41549,0.001118,-0.00099459,1,0.514,0.95,0,-0.486
0.0063852,0.42729,0.0012339,-0.0010435,1,0.516,0.95,0,-0.484
0.012562,0.4391,0.0013499,-0.0010925,1,0.518,0.95,0,-0.482
0.018739,0.45091,0.0014658,-0.0011414,1,0.52,0.95,0,-0.48
0.02558,0.46398,0.0013862,-0.00099091,1,0.522,0.95,0,-0.478
0.032421,0.47706,0.0013066,-0.00084038,1,0.524,0.95,0,-0.476
0.039262,0.49013,0.001227,-0.00068985,1,0.526,0.95,0,-0.474
0.046103,0.5032,0.0011474,-0.00053932,1,0.528,0.95,0,-0.472
0.052944,0.51627,0.0010677,-0.00038879,1,0.53,0.95,0,-0.47
0.059786,0.52934,0.00098814,-0.00023826,1,0.532,0.95,0,-0.468
0.0659,0.54135,0.00088544,-7.6521e-05,1,0.534,0.95,0,-0.466
0.070559,0.55124,0.00073655,0.00010765,1,0.536,0.95,0,-0.464
0.075219,0.56113,0.00058767,0.00029182,1,0.538,0.95,0,-0.462
0.079878,0.57102,0.00043879,0.00047599,1,0.54,0.95,0,-0.46
0.084538,0.5809,0.0002899,0.00066016,1,0.542,0.95,0,-0.458
0.089198,0.59079,0.00014102,0.00084433,1,0.544,0.95,0,-0.456
0.093857,0.60068,-7.8649e-06,0.0010285,1,0.546,0.95,0,-0.454
0.094844,0.60289,-0.00021749,0.0010672,1,0.548,0.95,0,-0.452
0.093993,0.60127,-0.00045749,0.0010331,1,0.55,0.95,0,-0.45
0.093143,0.59965,-0.00069748,0.000999,1,0.552,0.95,0,-0.448
0.092292,0.59802,-0.00093747,0.00096491,1,0.554,0.95,0,-0.446
0.091442,0.5964,-0.0011775,0.00093083,1,0.556,0.95,0,-0.444
0.090591,0.59478,-0.0014175,0.00089675,1,0.558,0.95,0,-0.442
0.089741,0.59315,-0.0016575,0.00086266,1,0.56,0.95,0,-0.44
0.084141,0.58183,-0.0019123,0.00066652,1,0.562,0.95,0,-0.438
